rounds	row	columns	wordsize	kolumns	block	key	full-diffusion
16	2	2	14	10	56	280	6
17	2	2	14	11	56	308	6
18	2	2	14	12	56	336	6
19	2	2	14	13	56	364	6
20	2	2	14	14	56	392	6
21	2	2	14	15	56	420	6
22	2	2	14	16	56	448	6
8	2	2	15	2	60	60	6
9	2	2	15	3	60	90	10
10	2	2	15	4	60	120	6
11	2	2	15	5	60	150	8
12	2	2	15	6	60	180	6
13	2	2	15	7	60	210	6
14	2	2	15	8	60	240	6
15	2	2	15	9	60	270	6
16	2	2	15	10	60	300	6
17	2	2	15	11	60	330	6
18	2	2	15	12	60	360	6
19	2	2	15	13	60	390	6
20	2	2	15	14	60	420	6
21	2	2	15	15	60	450	6
22	2	2	15	16	60	480	6
8	2	2	16	2	64	64	8
9	2	2	16	3	64	96	4
10	2	2	16	4	64	128	4
11	2	2	16	5	64	160	4
12	2	2	16	6	64	192	4
13	2	2	16	7	64	224	4
14	2	2	16	8	64	256	4
15	2	2	16	9	64	288	4
16	2	2	16	10	64	320	4
17	2	2	16	11	64	352	4
18	2	2	16	12	64	384	4
19	2	2	16	13	64	416	4
20	2	2	16	14	64	448	4
21	2	2	16	15	64	480	4
22	2	2	16	16	64	512	4
9	2	3	3	3	18	18	8
10	2	3	3	4	18	24	6
11	2	3	3	5	18	30	6
12	2	3	3	6	18	36	12
13	2	3	3	7	18	42	6
14	2	3	3	8	18	48	12
15	2	3	3	9	18	54	8
16	2	3	3	10	18	60	8
17	2	3	3	11	18	66	8
18	2	3	3	12	18	72	8
19	2	3	3	13	18	78	8
20	2	3	3	14	18	84	8
21	2	3	3	15	18	90	8
22	2	3	3	16	18	96	8
9	2	3	4	3	24	24	6
10	2	3	4	4	24	32	6
11	2	3	4	5	24	40	6
12	2	3	4	6	24	48	6
13	2	3	4	7	24	56	6
14	2	3	4	8	24	64	8
15	2	3	4	9	24	72	8
16	2	3	4	10	24	80	8
17	2	3	4	11	24	88	12
18	2	3	4	12	24	96	8
19	2	3	4	13	24	104	8
20	2	3	4	14	24	112	8
21	2	3	4	15	24	120	8
22	2	3	4	16	24	128	8
9	2	3	5	3	30	30	8
10	2	3	5	4	30	40	6
11	2	3	5	5	30	50	6
12	2	3	5	6	30	60	6
13	2	3	5	7	30	70	6
14	2	3	5	8	30	80	6
15	2	3	5	9	30	90	6
16	2	3	5	10	30	100	6
17	2	3	5	11	30	110	6
18	2	3	5	12	30	120	6
19	2	3	5	13	30	130	6
20	2	3	5	14	30	140	6
21	2	3	5	15	30	150	6
22	2	3	5	16	30	160	6
9	2	3	6	3	36	36	12
10	2	3	6	4	36	48	6
11	2	3	6	5	36	60	6
12	2	3	6	6	36	72	6
13	2	3	6	7	36	84	6
14	2	3	6	8	36	96	6
15	2	3	6	9	36	108	6
16	2	3	6	10	36	120	6
17	2	3	6	11	36	132	6
18	2	3	6	12	36	144	6
19	2	3	6	13	36	156	6
20	2	3	6	14	36	168	6
